Estimate,Std. Error,t value,CI,lb,ub
3.90892971591021,0.719903099501537,5.42979981419271,(2.5, 5.32),2.49791964088719,5.31993979093322
0.792873571012803,0.236152074043471,3.35747028360568,(0.33, 1.26),0.3300155058876,1.25573163613801
0.80717082160015,0.0889073479273063,9.07878640424772,(0.63, 0.98),0.632912419662629,0.98142922353767
-0.909893832238159,0.581751395760239,-1.56405956026818,(-2.05, 0.23),-2.05012656792823,0.230338903451909
0.832493330437575,0.359668866670066,2.3146104864318,(0.13, 1.54),0.127542351764245,1.53744430911091
0.59203345533206,0.291027935249147,2.03428394193576,(0.02, 1.16),0.021618702243732,1.16244820842039
0.184946464851916,0.59101643402385,0.312929479122492,(-0.97, 1.34),-0.973445745834831,1.34333867553866
0.084683207432282,0.833203164968079,0.10163572462609,(-1.55, 1.72),-1.54839499590515,1.71776141076972
0.329320848301801,0.624981073789208,0.526929313723304,(-0.9, 1.55),-0.895642056325047,1.55428375292865
0.120471782282902,0.741784476907714,0.162408065999324,(-1.33, 1.57),-1.33342579245622,1.57436935702202
